time,width,height,weight,hp,strength,powers
00:00,41,187,5878,429,4941,10949.675221769157
00:01,43,209,8895,242,3228,7863.475309346993
00:02,49,139,5872,44,888,5347.143540147675
00:03,62,218,8431,711,7229,1606.865968760533
00:04,22,196,877,566,6406,5834.349210296397
00:05,50,99,1765,214,2830,3275.9543272421747
00:06,29,111,2434,488,5453,4959.980063658572
00:07,66,195,8476,396,4286,3483.1810969002668
00:08,83,80,4189,72,1284,3766.8687992845757
00:09,34,126,1553,642,6777,3515.802320245139
00:10,41,96,3918,834,8519,10964.925373155169
00:11,50,184,2906,985,10610,4611.420419598046
00:12,51,121,4774,71,1160,2561.3291440974913
00:13,53,248,5050,36,790,4645.131492479711
00:14,39,202,645,259,2733,1200.5011374683597
00:15,66,119,7405,378,4396,7582.714938148902
00:16,95,150,2527,787,8609,7644.002832873491
00:17,51,229,7179,264,3340,7093.5993311109705
00:18,32,127,262,658,7038,2390.3401306993333
00:19,61,181,8333,910,9325,14339.380694924925
00:20,25,234,4394,895,9714,1270.6875774296107
00:21,92,124,4038,259,3578,1480.0174462116483
00:22,57,208,9265,502,5991,2941.6751908359834
00:23,86,159,5022,717,7810,8667.699017964702
00:24,65,96,2766,674,7171,6215.334362514086
00:25,77,209,10466,970,9721,14138.012787553438
00:26,29,137,268,50,1178,1128.6041174100558
00:27,78,140,6754,395,4286,8721.131656526079
00:28,82,175,12007,620,7112,13275.247683085101
00:29,97,147,4263,493,5869,6154.6974524992875
00:30,20,121,1421,207,2390,1517.851151773776
00:31,99,176,15425,111,2089,11817.628713316944
00:32,44,146,861,975,9780,7590.5051188136
00:33,45,141,5084,705,7335,5713.27288697008
00:34,55,124,5648,394,4577,9187.770102388668
00:35,67,84,764,514,5734,755.8693183467866
00:36,89,117,1754,997,10287,6102.899812259037
00:37,75,215,14065,51,827,8538.204681366882
00:38,94,199,869,675,7347,6319.796949845405
00:39,39,95,2171,835,8890,4778.232340121926
00:40,54,119,3065,295,3256,3312.8928898176537
00:41,32,128,1635,277,3131,3049.711077291584
00:42,40,88,554,239,3344,3383.0630138394536
00:43,74,100,2833,848,8705,6938.168423832719
00:44,42,85,3033,378,4286,2637.9371463345556
00:45,27,135,2951,797,8634,6919.014679094478
00:46,79,173,436,936,9721,7698.754841075408
00:47,43,217,8460,903,9453,12614.789830621023
00:48,66,101,2132,416,4774,2580.14982476125
00:49,23,188,426,682,7578,7559.7593245469325
00:50,85,155,2252,165,1896,1640.8692877610588
00:51,47,144,1701,441,5257,3188.8550427162595
00:52,24,166,2592,451,5333,1428.244344809198
00:53,24,80,1696,681,7698,3635.71137465896
00:54,90,203,2093,28,660,1189.160979408356
00:55,77,233,2627,887,9133,8738.256680239905
00:56,45,232,5736,912,9990,12146.251752357164
00:57,53,106,5213,303,3692,3647.7240068942647
00:58,62,246,8870,378,3790,2389.9242962660715
00:59,35,234,5633,524,5262,7141.345235069686
01:00,90,175,7351,652,6542,7318.825066986828
01:01,78,211,9893,229,2740,7139.5873718953535
01:02,95,229,3167,354,4042,2331.106853372947
