time,width,height,weight,hp,strength,powers,protection
00:00,37,142,372,628,6738,6477.12934968854,1501.0196063293658
00:01,26,161,4185,616,6344,4744.374275048628,4181.536750852524
00:02,95,147,5332,432,4515,7617.317114456691,7238.228433888519
00:03,27,163,2932,265,2839,4467.792864401859,635.4246471684006
00:04,54,250,11639,190,2343,1873.1101424313501,968.9816921510483
00:05,72,181,11082,947,10409,10531.770077002086,5911.515329380878
00:06,87,190,12688,690,7821,16328.311204757567,6577.095361888068
00:07,45,211,4167,411,4117,2569.5703898900033,843.5592470678849
00:08,65,241,3439,455,4588,6059.013321087421,611.9530107527705
00:09,44,185,1228,848,8632,6110.812654730506,3572.0337134610168
00:10,80,201,12196,68,1339,2001.60675965866,239.1558213941465
00:11,43,208,5989,650,6566,6243.7386742088565,261.4072796638292
00:12,44,170,5775,121,1432,1579.5700477182586,917.6065144481352
00:13,99,133,6830,353,3651,7285.743885567629,6185.179586667901
00:14,24,132,988,772,8222,3113.2532030770562,2768.6022888564603
00:15,34,148,716,954,10222,1344.836766317389,212.96545656733903
00:16,55,90,4132,718,7211,4823.136398142267,3189.1895779459023
00:17,76,216,7333,144,1804,6895.66697297921,4414.843389523509
00:18,42,238,9314,663,7001,6513.470303872033,2266.0720491433076
00:19,85,206,16670,837,8510,14099.09169322496,5452.620275468937
00:20,87,129,2866,88,932,1117.9651625076192,220.07916201792005
00:21,66,233,309,540,5729,5340.841222725729,4407.354213538224
00:22,32,226,803,944,9623,6722.598232133581,3533.279219669987
00:23,90,165,5534,994,10633,12924.288422683996,4153.062335376675
00:24,56,80,2089,249,2549,2409.50937039613,2185.4315541958417
00:25,62,124,1495,489,5182,4240.147163146375,3722.6113070276606
00:26,67,90,3960,974,10027,3907.659211115055,542.1311954496167
00:27,26,145,1170,840,8557,2026.2760282009915,688.2195183741499
00:28,68,113,7672,684,7437,7925.625722833053,6756.321258248054
00:29,76,172,3667,293,3635,3543.554087254927,769.4229158711311
00:30,80,242,9083,645,6579,7310.5019800601385,5036.706589181307
00:31,63,181,7600,571,6444,12679.436534331586,3320.2250193371356
00:32,46,142,2034,659,7133,5115.6757278542045,1235.1742607989713
00:33,78,175,2274,595,6717,1128.4725487773503,682.6509120047896
00:34,59,246,13036,112,1250,12311.103828937741,6217.808029005888
00:35,53,83,208,170,2153,1496.6660257107476,1056.742616286104
00:36,53,174,2210,488,5055,3501.837381806342,1578.4740314554535
00:37,93,162,3995,868,8865,3029.9960045424236,1605.388126976139
00:38,72,240,11302,976,10201,13384.81422439211,7621.163036106968
00:39,98,223,9280,151,2253,6731.461184752151,3621.7837753805675
00:40,40,193,6905,942,9433,9248.31372317651,3596.45723999132
00:41,56,108,5185,576,6573,8447.527963503893,1707.7879031963173
00:42,71,126,7649,243,2600,3388.6353122614146,1651.7296419157603
00:43,55,158,6072,751,7787,4516.0495206699325,1763.8180887920932
00:44,29,151,3150,756,8500,10599.374341205767,5070.347178915102
00:45,23,134,771,752,7839,2538.9588263135283,1620.149503352309
00:46,65,186,3043,154,1806,3646.2836959070123,2792.340103577148
00:47,64,114,2281,138,1506,2862.8948127781696,2843.609476462629
00:48,98,97,5189,693,7333,5804.936639672487,768.0523937437713
00:49,28,138,370,598,6479,6034.577939650448,4474.67251702494
00:50,22,242,5311,499,5759,2495.1082070843363,800.9070281984785
00:51,25,161,835,88,937,1146.3632745754383,1115.3483201642277
00:52,55,232,5551,693,7928,5821.209769512614,4660.5355515981155
00:53,68,178,1950,364,4071,3661.155734251622,1306.827945762477
00:54,47,143,5112,787,8012,10672.973614352835,3476.7728363541437
00:55,54,173,2218,984,10120,4638.077095259204,1605.2398754756853
00:56,60,153,6974,563,6392,2425.6990526051613,419.21291548461437
00:57,75,247,3243,837,8754,6416.44970367943,5128.124899389887
00:58,81,108,8280,306,3762,9263.502932395548,2821.2713159452696
00:59,76,232,13281,416,4590,9009.071178760987,2780.1122300098555
01:00,92,107,6209,989,9909,14533.628788403472,7031.402621196096
