"time/parameter","width","height","weight","hp","strenth","powers","protection"
"0:00","13","7","15","500","1000","500","250"
"0:14","14","7.7","15.5","499","1002","501","249.5"
"0:28","15","8.47","16","498","1004","502","249"
"0:43","16","9.317","16.5","497","1006","503","248.5"
"0:57","17","10.2487","17","496","1008","504","248"
"1:12","18","11.27357","17.5","495","1010","505","247.5"
"1:26","19","12.400927","18","494","1012","506","247"
"1:40","20","13.6410197","18.5","493","1014","507","246.5"
"1:55","21","15.00512167","19","492","1016","508","246"
"2:09","22","16.505633837","19.5","491","1018","509","245.5"
"2:24","23","18.1561972207","20","490","1020","510","245"
"2:38","24","19.97181694277","20.5","489","1022","511","244.5"
"2:52","25","21.968998637047","42","488","1024","512","244"
"3:07","26","24.165898500752","42.5","487","1026","513","243.5"
"3:21","27","26.582488350827","43","486","436","218","243"
"3:36","28","29.24073718591","43.5","485","438","219","242.5"
"3:50","29","92","44","300","440","220","150"
"4:04","30","101.2","44.5","300","442","221","150"
"4:19","31","111.32","45","300","444","222","150"
"4:33","32","122.452","45.5","300","446","223","150"
"4:48","33","134.6972","46","300","448","224","150"
"5:02","34","148.16692","46.5","300","450","225","150"
"5:16","35","162.983612","47","300","452","226","150"
"5:31","36","179.2819732","47.5","299","454","227","149.5"
"5:45","37","197.21017052","48","298","456","228","149"
"6:00","38","216.931187572","48.5","297","458","229","148.5"
"6:14","39","238.6243063292","49","296","460","230","148"
"6:28","40","262.48673696212","49.5","295","462","231","147.5"
"6:43","41","288.73541065833","50","294","464","232","147"
"6:57","42","317.60895172417","50.5","293","466","233","146.5"
"7:12","43","349.36984689658","51","292","468","234","146"
"7:26","44","384.30683158624","51.5","291","470","235","145.5"
"7:40","45","422.73751474486","52","290","472","236","145"
"7:55","46","465.01126621935","52.5","289","474","237","144.5"
"8:09","47","511.51239284129","53","288","476","238","144"
"8:24","48","562.66363212541","53.5","287","478","239","143.5"
"8:38","49","618.92999533796","54","286","480","240","143"
"8:52","50","680.82299487175","54.5","285","482","241","142.5"
"9:07","51","748.90529435893","55","284","484","242","142"
"9:21","52","823.79582379482","55.5","283","486","243","141.5"
"9:36","53","906.1754061743","56","282","488","244","141"
"9:50","54","996.79294679173","56.5","281","490","245","140.5"
"10:04","55","1096.4722414709","57","280","492","246","140"
"10:19","56","1206.119465618","57.5","279","494","247","139.5"
"10:33","57","1326.7314121798","58","278","496","248","139"
"10:48","58","1459.4045533978","58.5","277","498","249","138.5"
"11:02","59","1605.3450087376","59","276","500","250","138"
"11:16","60","1765.8795096113","59.5","275","502","251","137.5"
"11:31","61","1942.4674605724","60","274","504","252","137"
"11:45","62","2136.7142066297","60.5","273","506","253","136.5"
"12:00","63","2350.3856272927","61","272","508","254","136"
"12:14","64","2585.4241900219","61.5","271","510","255","135.5"
"12:28","65","2843.9666090241","62","270","512","256","135"
"12:43","66","3128.3632699265","62.5","269","514","257","134.5"
"12:57","67","3441.1995969192","63","268","516","258","134"
"13:12","68","3785.3195566111","63.5","267","518","259","133.5"
"13:26","69","4163.8515122722","62","266","520","260","133"
"13:40","70","4580.2366634994","62.5","265","522","261","132.5"
"13:55","71","5038.2603298494","63","264","524","262","132"
"14:09","72","5542.0863628343","63.5","263","526","263","131.5"
"0:00","73","6096.2949991177","64","262","528","264","131"
