time,width,height,weight,hp,strenth,powers
14.00,1,20,50,1000,102,51
14.01,2,22,50.5,999,104,52
14.02,3,24.2,51,998,106,53
14.03,4,26.62,51.5,997,108,54
14.04,5,29.282,52,996,110,55
14.05,6,32.2102,52.5,995,112,56
14.06,7,35.43122,53,994,114,57
14.07,8,38.974342,53.5,993,116,58
14.08,9,42.8717762,54,992,118,59
14.09,10,47.15895382,54.5,991,120,60
14.10,11,51.874849202,55,990,122,61
14.11,12,57.0623341222,55.5,989,124,62
14.12,13,62.7685675344201,42,988,126,63
14.13,14,69.0454242878621,42.5,987,128,64
14.14,15,75.9499667166483,43,986,100,50
14.15,16,83.5449633883131,43.5,985,102,51
14.16,17,92,44,985,104,52
14.17,18,101.2,44.5,985,106,53
14.18,19,111.32,45,985,108,54
14.19,20,122.452,45.5,985,110,55
14.20,21,134.6972,46,985,112,56
14.21,22,148.16692,46.5,985,114,57
14.22,23,162.983612,47,985,116,58
14.23,24,179.2819732,47.5,984,118,59
14.24,25,197.21017052,48,983,120,60
14.25,26,216.931187572,48.5,982,122,61
14.26,27,238.6243063292,49,981,124,62
14.27,28,262.48673696212,49.5,980,126,63
14.28,29,288.735410658332,50,979,128,64
14.29,30,317.608951724166,50.5,978,130,65
14.30,31,349.369846896582,51,977,132,66
14.31,32,384.30683158624,51.5,976,134,67
14.32,33,422.737514744864,52,975,136,68
14.33,34,465.011266219351,52.5,974,138,69
14.34,35,511.512392841286,53,973,140,70
14.35,36,562.663632125415,53.5,972,142,71
14.36,37,618.929995337956,54,971,144,72
14.37,38,680.822994871752,54.5,970,146,73
14.38,39,748.905294358927,55,969,148,74
14.39,40,823.79582379482,55.5,968,150,75
14.40,41,906.175406174302,56,967,152,76
14.41,42,996.792946791732,56.5,966,154,77
14.42,43,1096.47224147091,57,965,156,78
14.43,44,1206.119465618,57.5,964,158,79
14.44,45,1326.7314121798,58,963,160,80
14.45,46,1459.40455339778,58.5,962,162,81
14.46,47,1605.34500873755,59,961,164,82
14.47,48,1765.87950961131,59.5,960,166,83
14.48,49,1942.46746057244,60,959,168,84
14.49,50,2136.71420662968,60.5,958,170,85
14.50,51,2350.38562729265,61,957,172,86
14.51,52,2585.42419002192,61.5,956,174,87
14.52,53,2843.96660902411,62,955,176,88
14.53,54,3128.36326992652,62.5,954,178,89
14.54,55,3441.19959691917,63,953,180,90
14.55,56,3785.31955661109,63.5,952,182,91
14.56,57,4163.8515122722,64,951,184,92
14.57,58,4580.23666349942,64.5,950,186,93
14.58,59,5038.26032984936,65,949,188,94
14.59,60,5542.0863628343,65.5,948,190,95
15.00,61,6096.29499911773,66,947,192,96
15.01,62,6705.9244990295,66.5,946,194,97
15.02,63,7376.51694893245,67,940,196,98
15.03,64,8114.1686438257,67.5,939,198,99
15.04,65,8925.58550820827,68,938,200,100
15.05,66,9818.1440590291,68.5,937,202,101
15.06,67,10799.958464932,69,936,204,102
15.07,68,11879.9543114252,69.5,935,206,103
15.08,69,13067.9497425677,70,934,208,104
15.09,70,14374.7447168245,70.5,933,210,105
15.10,71,15812.219188507,71,932,212,106
15.11,72,17393.4411073577,71.5,931,214,107
15.12,73,19132.7852180934,72,930,216,108
15.13,74,21046.0637399028,72.5,929,218,109
15.14,6,23150.670113893,73,928,220,110
15.15,7,25465.7371252824,73.5,927,222,111
15.16,8,28012.3108378106,74,926,224,112
15.17,9,30813.5419215917,74.5,925,226,113
15.18,10,33894.8961137508,75,924,228,114
15.19,11,37284.3857251259,75.5,923,230,115
15.20,12,41012.8242976385,76,922,232,116
15.21,13,45114.1067274024,76.5,921,234,117
15.22,14,49625.5174001426,77,920,236,118
15.23,15,54588.0691401569,77.5,919,238,119
15.24,16,60046.8760541726,78,918,240,120
15.25,17,66051.5636595898,78.5,917,242,121
15.26,18,72656.7200255488,79,916,244,122
15.27,19,79922.3920281037,79.5,915,246,123
15.28,20,87914.6312309141,80,914,248,124
15.29,33,96706.0943540055,80.5,913,250,125
15.30,34,106376.703789406,81,912,252,126
15.31,35,117014.374168347,81.5,911,254,127
15.32,36,128715.811585181,82,910,256,128
15.33,37,141587.392743699,82.5,909,258,129
15.34,38,155746.132018069,83,908,260,130
15.35,39,171320.745219876,83.5,907,262,131
15.36,40,188452.819741864,84,906,264,132
15.37,41,207298.101716051,84.5,905,266,133
15.38,42,228027.911887656,85,904,268,134
15.39,43,250830.703076421,85.5,903,270,135
